method,attack,strength,bit_acc_mean,bit_acc_std,psnr,ssim,lpips,att_ssim,att_psnr
SpreadSpec,none,0,1.0,0.0,31.575527408285296,0.8645253793906594,nan,nan,nan
SpreadSpec,gaussian_noise,0,1.0,0.0,nan,nan,nan,0.8645253793906594,31.575527408285296
SpreadSpec,gaussian_noise,2,1.0,0.0,nan,nan,nan,0.8413326342600375,31.223033209621793
SpreadSpec,gaussian_noise,5,1.0,0.0,nan,nan,nan,0.7513916792736173,29.752068973829182
SpreadSpec,gaussian_noise,10,1.0,0.0,nan,nan,nan,0.5919169225950143,26.709003396611905
SpreadSpec,gaussian_noise,15,1.0,0.0,nan,nan,nan,0.47767154668458084,24.09961627230006
SpreadSpec,gaussian_noise,20,1.0,0.0,nan,nan,nan,0.3972191993567724,22.005702415619453
SpreadSpec,gaussian_blur,0.0,1.0,0.0,nan,nan,nan,0.8645253793906594,31.575527408285296
SpreadSpec,gaussian_blur,0.5,1.0,0.0,nan,nan,nan,0.8678088398541304,31.83266616715789
SpreadSpec,gaussian_blur,1.0,1.0,0.0,nan,nan,nan,0.8304912871845038,30.356674070002207
SpreadSpec,gaussian_blur,1.5,1.0,0.0,nan,nan,nan,0.7846405963913301,29.4910550166611
SpreadSpec,gaussian_blur,2.0,1.0,0.0,nan,nan,nan,0.7290165105248941,28.349437873898022
SpreadSpec,gaussian_blur,3.0,0.96328125,0.04343497069974262,nan,nan,nan,0.6466987004243371,26.577403693754242
SpreadSpec,jpeg,90,1.0,0.0,nan,nan,nan,0.7344034416186094,30.094374359339582
SpreadSpec,jpeg,70,1.0,0.0,nan,nan,nan,0.7214717682242704,29.551029356236484
SpreadSpec,jpeg,50,1.0,0.0,nan,nan,nan,0.7056961993553356,28.945439844445588
SpreadSpec,jpeg,30,1.0,0.0,nan,nan,nan,0.681828295708949,28.27083314902155
SpreadSpec,jpeg,10,1.0,0.0,nan,nan,nan,0.7042866723926777,27.319451821503947
SpreadSpec,rescale,1.0,1.0,0.0,nan,nan,nan,0.8645253793906594,31.575527408285296
SpreadSpec,rescale,0.75,1.0,0.0,nan,nan,nan,0.8457914858368021,30.713573275939876
SpreadSpec,rescale,0.5,1.0,0.0,nan,nan,nan,0.814133262510838,29.93984237577164
SpreadSpec,rescale,0.35,1.0,0.0,nan,nan,nan,0.7615921915861195,28.82605475087555
SpreadSpec,rescale,0.25,0.9609375,0.04433206549722221,nan,nan,nan,0.6927646143814801,27.479269685983287
SpreadSpec,regen_surrogate,0.0,1.0,0.0,nan,nan,nan,0.8645253793906594,31.575527408285296
SpreadSpec,regen_surrogate,0.1,1.0,0.0,nan,nan,nan,0.7886568071139342,29.749051138551955
SpreadSpec,regen_surrogate,0.2,1.0,0.0,nan,nan,nan,0.7842952109069649,29.48684025272422
SpreadSpec,regen_surrogate,0.3,1.0,0.0,nan,nan,nan,0.769852299852223,29.19936466577166
SpreadSpec,regen_surrogate,0.5,0.91796875,0.11013962640524753,nan,nan,nan,0.7167107951300743,28.10183191192897
SpreadSpec,regen_surrogate,0.8,0.5203125,0.05254741162750074,nan,nan,nan,0.6331215917298161,26.41926567451809
DwtDct-default,none,0,0.9890625,0.03600537069313411,66.50545121959227,0.9998582474847261,nan,nan,nan
DwtDct-default,gaussian_noise,0,0.9890625,0.03600537069313411,nan,nan,nan,0.9998582474847261,66.50545121959227
DwtDct-default,gaussian_noise,2,0.93671875,0.05643956772236566,nan,nan,nan,0.9680483472709985,42.181161956247514
DwtDct-default,gaussian_noise,5,0.67578125,0.03080741273926618,nan,nan,nan,0.8461246134780442,34.3539120900283
DwtDct-default,gaussian_noise,10,0.52578125,0.03287753970703252,nan,nan,nan,0.6406699920825331,28.39973546156306
DwtDct-default,gaussian_noise,15,0.5203125,0.041369382171480396,nan,nan,nan,0.5036853702543335,24.939804227711825
DwtDct-default,gaussian_noise,20,0.51015625,0.040827320720168495,nan,nan,nan,0.41251759451201897,22.502505424797455
DwtDct-default,gaussian_blur,0.0,0.9890625,0.03600537069313411,nan,nan,nan,0.9998582474847261,66.50545121959227
DwtDct-default,gaussian_blur,0.5,0.88671875,0.12498779237264533,nan,nan,nan,0.9865146232508373,42.80583152607615
DwtDct-default,gaussian_blur,1.0,0.665625,0.13785465625070487,nan,nan,nan,0.8907767305263306,34.10328776511172
DwtDct-default,gaussian_blur,1.5,0.4875,0.07119241093684073,nan,nan,nan,0.80779425466341,31.52750393234435
DwtDct-default,gaussian_blur,2.0,0.47734375,0.05240201980541876,nan,nan,nan,0.7433511165097323,29.993781703287596
DwtDct-default,gaussian_blur,3.0,0.43828125,0.06040937006944783,nan,nan,nan,0.6597337189986564,28.034239952135852
DwtDct-default,jpeg,90,0.7671875,0.156632344700097,nan,nan,nan,0.966819524613243,40.96624303151551
DwtDct-default,jpeg,70,0.64921875,0.11853135710514538,nan,nan,nan,0.9322313946471492,36.36728595388297
DwtDct-default,jpeg,50,0.55859375,0.09855833357554043,nan,nan,nan,0.9104027656321667,34.699492587985546
DwtDct-default,jpeg,30,0.490625,0.07532481745746218,nan,nan,nan,0.8825854261743291,33.04122326121456
DwtDct-default,jpeg,10,0.4734375,0.0644424707103165,nan,nan,nan,0.7886927426490709,29.28921071255349
DwtDct-default,rescale,1.0,0.9890625,0.03600537069313411,nan,nan,nan,0.9998582474847261,66.50545121959227
DwtDct-default,rescale,0.75,0.7796875,0.15123999192095322,nan,nan,nan,0.9405539726849563,36.64813607786114
DwtDct-default,rescale,0.5,0.6890625,0.1457319215846343,nan,nan,nan,0.864909880484347,33.0646237626328
DwtDct-default,rescale,0.35,0.49765625,0.06294276759237316,nan,nan,nan,0.7901903987440091,30.929362076733963
DwtDct-default,rescale,0.25,0.46640625,0.0718197817783339,nan,nan,nan,0.7073669467551034,29.02474436513013
DwtDct-default,regen_surrogate,0.0,0.9890625,0.03600537069313411,nan,nan,nan,0.9998582474847261,66.50545121959227
DwtDct-default,regen_surrogate,0.1,0.52109375,0.08828816344611264,nan,nan,nan,0.8692091996219145,33.03955580481049
DwtDct-default,regen_surrogate,0.2,0.49921875,0.0750122060380009,nan,nan,nan,0.8327095489918049,31.67119486209079
DwtDct-default,regen_surrogate,0.3,0.48125,0.05921029787967629,nan,nan,nan,0.7963994008127935,30.6753616278221
DwtDct-default,regen_surrogate,0.5,0.46484375,0.05906063985166009,nan,nan,nan,0.7293085378753179,28.67521977597578
DwtDct-default,regen_surrogate,0.8,0.43828125,0.042353550526343126,nan,nan,nan,0.6512590810713837,27.21038385776534
Imp+multiband,none,0,1.0,0.0,52.924710204966914,0.9976284197069191,nan,nan,nan
Imp+multiband,gaussian_noise,0,1.0,0.0,nan,nan,nan,0.9976284197069191,52.924710204966914
Imp+multiband,gaussian_noise,2,0.9890625,0.047675457194976116,nan,nan,nan,0.965901957662999,41.83986001471965
Imp+multiband,gaussian_noise,5,0.94140625,0.10778702144593987,nan,nan,nan,0.8446542105337931,34.29227114275612
Imp+multiband,gaussian_noise,10,0.496875,0.04435959239555747,nan,nan,nan,0.6400866186890725,28.382586848045754
Imp+multiband,gaussian_noise,15,0.50703125,0.036468562553074395,nan,nan,nan,0.5034329251466789,24.931453928779657
Imp+multiband,gaussian_noise,20,0.43203125,0.042869202869746714,nan,nan,nan,0.4123886925590353,22.497400618082413
Imp+multiband,gaussian_blur,0.0,1.0,0.0,nan,nan,nan,0.9976284197069191,52.924710204966914
Imp+multiband,gaussian_blur,0.5,1.0,0.0,nan,nan,nan,0.984460787293942,40.91124833655756
Imp+multiband,gaussian_blur,1.0,0.8671875,0.159382659129687,nan,nan,nan,0.8892710409352977,33.26210437680261
Imp+multiband,gaussian_blur,1.5,0.75703125,0.18378314698901937,nan,nan,nan,0.8066604031062719,30.719450630060344
Imp+multiband,gaussian_blur,2.0,0.6796875,0.17756903367071072,nan,nan,nan,0.7424914774380198,29.25810339519155
Imp+multiband,gaussian_blur,3.0,0.52421875,0.04647616786792452,nan,nan,nan,0.6591943050618302,27.528620814721666
Imp+multiband,jpeg,90,0.97109375,0.11569624072193313,nan,nan,nan,0.964337751915312,39.910526596057025
Imp+multiband,jpeg,70,0.91171875,0.13543143949869063,nan,nan,nan,0.9320334673289683,36.14701591401614
Imp+multiband,jpeg,50,0.88203125,0.1530512418021739,nan,nan,nan,0.9102319901913536,34.50650402356463
Imp+multiband,jpeg,30,0.665625,0.09328007222874563,nan,nan,nan,0.8818534565866667,32.885829617889215
Imp+multiband,jpeg,10,0.49765625,0.052355409149270345,nan,nan,nan,0.7880239938186833,29.275039347521254
Imp+multiband,rescale,1.0,1.0,0.0,nan,nan,nan,0.9976284197069191,52.924710204966914
Imp+multiband,rescale,0.75,0.9109375,0.13950071404387146,nan,nan,nan,0.938679181028031,35.641984132063854
Imp+multiband,rescale,0.5,0.84609375,0.17039669650461978,nan,nan,nan,0.8633789093374155,32.30480767403445
Imp+multiband,rescale,0.35,0.74609375,0.18099895059692336,nan,nan,nan,0.7890962933046406,30.202128361935017
Imp+multiband,rescale,0.25,0.64609375,0.1427166493167055,nan,nan,nan,0.7065748650718854,28.411641481176684
Imp+multiband,regen_surrogate,0.0,1.0,0.0,nan,nan,nan,0.9976284197069191,52.924710204966914
Imp+multiband,regen_surrogate,0.1,0.74140625,0.16353897124901912,nan,nan,nan,0.8674159551571492,32.40677960258165
Imp+multiband,regen_surrogate,0.2,0.6890625,0.17264741210412046,nan,nan,nan,0.831193060210048,31.26602727853978
Imp+multiband,regen_surrogate,0.3,0.6328125,0.1351810851459996,nan,nan,nan,0.795255704819209,30.346936407040676
Imp+multiband,regen_surrogate,0.5,0.53828125,0.04928071496221925,nan,nan,nan,0.7296186355132501,28.64751698065121
Imp+multiband,regen_surrogate,0.8,0.509375,0.06636487681748532,nan,nan,nan,0.6511726332807084,27.20553495818849
Imp+texture,none,0,1.0,0.0,49.769768592841054,0.997094728792491,nan,nan,nan
Imp+texture,gaussian_noise,0,1.0,0.0,nan,nan,nan,0.997094728792491,49.769768592841054
Imp+texture,gaussian_noise,2,0.99140625,0.03745928779605266,nan,nan,nan,0.9654376448613491,41.41632125663801
Imp+texture,gaussian_noise,5,0.9546875,0.09136283691277322,nan,nan,nan,0.8442607287940296,34.216082422677324
Imp+texture,gaussian_noise,10,0.8171875,0.146583820410883,nan,nan,nan,0.6398052896106969,28.364287121285493
Imp+texture,gaussian_noise,15,0.60078125,0.05578693948575687,nan,nan,nan,0.5032355598661977,24.923765320591308
Imp+texture,gaussian_noise,20,0.528125,0.050292115435722116,nan,nan,nan,0.4122465134232033,22.493311460922694
Imp+texture,gaussian_blur,0.0,1.0,0.0,nan,nan,nan,0.997094728792491,49.769768592841054
Imp+texture,gaussian_blur,0.5,1.0,0.0,nan,nan,nan,0.9840164240909177,40.95142767007383
Imp+texture,gaussian_blur,1.0,0.959375,0.07692833515681982,nan,nan,nan,0.8890082256458631,33.4366760058485
Imp+texture,gaussian_blur,1.5,0.84296875,0.13935844562561503,nan,nan,nan,0.8065276171447856,30.893931018582208
Imp+texture,gaussian_blur,2.0,0.75234375,0.18350396740857539,nan,nan,nan,0.7424720747953913,29.42825324485805
Imp+texture,gaussian_blur,3.0,0.56484375,0.1112863134203281,nan,nan,nan,0.659281859713996,27.71872039027486
Imp+texture,jpeg,90,0.98359375,0.07151318579246418,nan,nan,nan,0.9636550108924069,39.74950541618511
Imp+texture,jpeg,70,0.975,0.09849948445296554,nan,nan,nan,0.9306837636905192,36.08156842391703
Imp+texture,jpeg,50,0.940625,0.10241231005108713,nan,nan,nan,0.9093835924114433,34.524478009299074
Imp+texture,jpeg,30,0.82734375,0.15144768524869404,nan,nan,nan,0.8810973713981787,32.88509448100809
Imp+texture,jpeg,10,0.54296875,0.03158994784243083,nan,nan,nan,0.7877146729564257,29.262410922163514
Imp+texture,rescale,1.0,1.0,0.0,nan,nan,nan,0.997094728792491,49.769768592841054
Imp+texture,rescale,0.75,0.990625,0.025387620014487376,nan,nan,nan,0.9382499387005199,35.79364448100691
Imp+texture,rescale,0.5,0.95546875,0.07956102095051006,nan,nan,nan,0.8631056152006058,32.48706830643262
Imp+texture,rescale,0.35,0.8046875,0.16825012769311648,nan,nan,nan,0.7889805641071633,30.37460639324367
Imp+texture,rescale,0.25,0.71875,0.16550703346081702,nan,nan,nan,0.7065868042896298,28.580457496744977
Imp+texture,regen_surrogate,0.0,1.0,0.0,nan,nan,nan,0.997094728792491,49.769768592841054
Imp+texture,regen_surrogate,0.1,0.89140625,0.10819395832109804,nan,nan,nan,0.8674610659132164,32.606784217357465
Imp+texture,regen_surrogate,0.2,0.8046875,0.13445673386353693,nan,nan,nan,0.8311895537154129,31.452262434954672
Imp+texture,regen_surrogate,0.3,0.7453125,0.13423866630464562,nan,nan,nan,0.7951580045706046,30.591740745546254
Imp+texture,regen_surrogate,0.5,0.6125,0.0793036096278095,nan,nan,nan,0.7291515963270221,28.646499167831887
Imp+texture,regen_surrogate,0.8,0.5234375,0.049286907173710946,nan,nan,nan,0.6511830201901494,27.20658154514003
Imp+JND,none,0,0.9703125,0.11586756650914007,inf,0.9978190797769386,nan,nan,nan
Imp+JND,gaussian_noise,0,0.9703125,0.11586756650914007,nan,nan,nan,0.9978190797769386,inf
Imp+JND,gaussian_noise,2,0.9734375,0.09883352875542793,nan,nan,nan,0.9661655205657285,41.50787120343765
Imp+JND,gaussian_noise,5,0.9046875,0.14497608908454526,nan,nan,nan,0.8447867038986445,34.2331040726646
Imp+JND,gaussian_noise,10,0.7671875,0.17545281817699593,nan,nan,nan,0.6400141108647343,28.369018854964928
Imp+JND,gaussian_noise,15,0.59765625,0.1121168605950394,nan,nan,nan,0.503327922502536,24.926160485257874
Imp+JND,gaussian_noise,20,0.48984375,0.06057081180063134,nan,nan,nan,0.4122992021485964,22.494857990170964
Imp+JND,gaussian_blur,0.0,0.9703125,0.11586756650914007,nan,nan,nan,0.9978190797769386,inf
Imp+JND,gaussian_blur,0.5,0.96953125,0.11571734066114508,nan,nan,nan,0.9847093097216344,inf
Imp+JND,gaussian_blur,1.0,0.88984375,0.15853601165724934,nan,nan,nan,0.8896100778749165,34.61826375240351
Imp+JND,gaussian_blur,1.5,0.77265625,0.1995768839750423,nan,nan,nan,0.8070549963655015,31.676551681634443
Imp+JND,gaussian_blur,2.0,0.696875,0.17845364419086543,nan,nan,nan,0.7428937207844518,29.99021120259726
Imp+JND,gaussian_blur,3.0,0.534375,0.061634634135362555,nan,nan,nan,0.6595716292358238,28.037950465717813
Imp+JND,jpeg,90,0.96328125,0.11664195934434357,nan,nan,nan,0.9644809800943233,40.40811871979679
Imp+JND,jpeg,70,0.91640625,0.15882833635622925,nan,nan,nan,0.9303164437245097,36.136279248121156
Imp+JND,jpeg,50,0.8703125,0.1611800356937856,nan,nan,nan,0.9085819940611348,34.54752776031596
Imp+JND,jpeg,30,0.76015625,0.18230264103870655,nan,nan,nan,0.8809188839341419,32.95497282002141
Imp+JND,jpeg,10,0.50625,0.050967207594687786,nan,nan,nan,0.7879776510779366,29.265676685404515
Imp+JND,rescale,1.0,0.9703125,0.11586756650914007,nan,nan,nan,0.9978190797769386,inf
Imp+JND,rescale,0.75,0.93984375,0.1346177857572598,nan,nan,nan,0.9389363749881874,37.10591072831014
Imp+JND,rescale,0.5,0.884375,0.15216536029924813,nan,nan,nan,0.8637197721352334,33.31242492593492
Imp+JND,rescale,0.35,0.74453125,0.18062087743997787,nan,nan,nan,0.7894828759680893,30.979325415128777
Imp+JND,rescale,0.25,0.634375,0.15200483133769138,nan,nan,nan,0.7069871391073305,29.0233222399515
Imp+JND,regen_surrogate,0.0,0.9703125,0.11586756650914007,nan,nan,nan,0.9978190797769386,inf
Imp+JND,regen_surrogate,0.1,0.81640625,0.15332217853163807,nan,nan,nan,0.8680242099161403,32.949496592478
Imp+JND,regen_surrogate,0.2,0.73125,0.14486658733124072,nan,nan,nan,0.8316905652607678,31.614493347017977
Imp+JND,regen_surrogate,0.3,0.65390625,0.1346177857572598,nan,nan,nan,0.7956513274449719,30.640871220581147
Imp+JND,regen_surrogate,0.5,0.55390625,0.06336799609966769,nan,nan,nan,0.7288556765364167,28.649715146746313
Imp+JND,regen_surrogate,0.8,0.496875,0.05900377371406002,nan,nan,nan,0.6512237712020666,27.210703634732567
DCT-QIM-JPEG,none,0,0.996875,0.010597390598633231,51.190809630304855,0.99591867230505,nan,nan,nan
DCT-QIM-JPEG,gaussian_noise,0,0.996875,0.010597390598633231,nan,nan,nan,0.99591867230505,51.190809630304855
DCT-QIM-JPEG,gaussian_noise,2,0.98515625,0.06121232099984039,nan,nan,nan,0.9643665871427188,41.68214319076847
DCT-QIM-JPEG,gaussian_noise,5,0.978125,0.09182928284321946,nan,nan,nan,0.8437379573384266,34.26694294664868
DCT-QIM-JPEG,gaussian_noise,10,0.97890625,0.07785500219759485,nan,nan,nan,0.6397941090030846,28.37715015402207
DCT-QIM-JPEG,gaussian_noise,15,0.75859375,0.03440162321297499,nan,nan,nan,0.5033351185427597,24.92942332994611
DCT-QIM-JPEG,gaussian_noise,20,0.66171875,0.03174414008423444,nan,nan,nan,0.41235442631861313,22.496491682008163
DCT-QIM-JPEG,gaussian_blur,0.0,0.996875,0.010597390598633231,nan,nan,nan,0.99591867230505,51.190809630304855
DCT-QIM-JPEG,gaussian_blur,0.5,0.97109375,0.09811143915052668,nan,nan,nan,0.984129105209505,40.972962547363586
DCT-QIM-JPEG,gaussian_blur,1.0,0.53046875,0.04058742252456418,nan,nan,nan,0.8902191656097858,33.601479580732565
DCT-QIM-JPEG,gaussian_blur,1.5,0.546875,0.0,nan,nan,nan,0.8075216911058256,30.989732352705353
DCT-QIM-JPEG,gaussian_blur,2.0,0.546875,0.0,nan,nan,nan,0.7430982685994431,29.459932196795705
DCT-QIM-JPEG,gaussian_blur,3.0,0.546875,0.0,nan,nan,nan,0.6595060803909651,27.660001049299943
DCT-QIM-JPEG,jpeg,90,0.9765625,0.09863571313804144,nan,nan,nan,0.9623449197983494,39.64704839749576
DCT-QIM-JPEG,jpeg,70,0.90703125,0.13580947635267393,nan,nan,nan,0.9291647599854489,35.98099617151602
DCT-QIM-JPEG,jpeg,50,0.9796875,0.03318243840874266,nan,nan,nan,0.9062823667352188,34.30578649325608
DCT-QIM-JPEG,jpeg,30,0.96484375,0.10064186097090762,nan,nan,nan,0.8719088053798281,32.53493315882514
DCT-QIM-JPEG,jpeg,10,0.5265625,0.04918773824592873,nan,nan,nan,0.7886679942525168,29.286479651613053
DCT-QIM-JPEG,rescale,1.0,0.996875,0.010597390598633231,nan,nan,nan,0.99591867230505,51.190809630304855
DCT-QIM-JPEG,rescale,0.75,0.93125,0.1245499711461227,nan,nan,nan,0.9390099678247802,35.873806613944105
DCT-QIM-JPEG,rescale,0.5,0.5296875,0.0382413695328763,nan,nan,nan,0.8644369270732689,32.63839863524228
DCT-QIM-JPEG,rescale,0.35,0.546875,0.0,nan,nan,nan,0.7898858717751428,30.454471195360327
DCT-QIM-JPEG,rescale,0.25,0.546875,0.0,nan,nan,nan,0.7071439785012829,28.61055578536702
DCT-QIM-JPEG,regen_surrogate,0.0,0.996875,0.010597390598633231,nan,nan,nan,0.99591867230505,51.190809630304855
DCT-QIM-JPEG,regen_surrogate,0.1,0.54375,0.01887975933374152,nan,nan,nan,0.8683314379496034,32.739780197445555
DCT-QIM-JPEG,regen_surrogate,0.2,0.546875,0.004941058844013093,nan,nan,nan,0.832200390024046,31.449419508861087
DCT-QIM-JPEG,regen_surrogate,0.3,0.546875,0.0,nan,nan,nan,0.7963588232993823,30.637520731278254
DCT-QIM-JPEG,regen_surrogate,0.5,0.546875,0.0,nan,nan,nan,0.7296877243353342,28.665187124468947
